"","date","lat_bin","lon_bin","mmsi","fishing_hours"
"5","2016-01-28",51.2,2.2,244245000,1.91555555555556
"6","2016-01-28",51.2,2.4,244245000,0.0955555555555556
"7","2016-01-28",51.2,2.3,244245000,8.13875
"8","2016-01-28",51.2,1.9,227141900,0.397222222222222
"9","2016-01-28",51.2,1.6,227141900,1.39402777777778
"10","2016-01-28",51.2,1.7,227141900,2.33277777777778
"11","2016-01-28",51.2,-5.2,205322000,1.15569444444444
"12","2016-01-28",51.2,-5.1,205322000,0.380694444444444
"13","2016-01-28",51.2,1.9,227117600,1.135
"14","2016-01-28",51.2,1.7,227117600,1.84486111111111
"15","2016-01-28",51.2,1.6,227117600,1.0325
"16","2016-01-28",51.2,1.6,226183000,1.45347222222222
"17","2016-01-28",51.2,1.7,226183000,0.22125
"18","2016-01-28",51.2,1.6,227106400,0.299027777777778
"19","2016-01-28",51.2,1.7,227106400,3.91555555555555
"20","2016-01-28",51.2,1.6,227324000,1.49125
"21","2016-01-28",51.2,1.7,227324000,2.08027777777778
"22","2016-01-28",51.2,1.9,227324000,1.82597222222222
"23","2016-01-28",51.2,2,227324000,1.04555555555556
"25","2016-01-28",51.2,2,227106700,1.44138888888889
"26","2016-01-28",51.2,1.7,227106700,1.13833333333333
"27","2016-01-28",51.2,1.6,227106700,1.09875
"28","2016-01-28",51.2,2.1,227106700,1.25222222222222
"29","2016-01-28",51.2,1.8,227138700,5.27333333333333
"30","2016-01-28",51.2,1.6,227138700,1.32972222222222
"31","2016-01-28",51.2,2,227144600,1.73777777777778
"32","2016-01-28",51.2,1.9,227144600,0.840416666666667
"33","2016-01-28",51.2,1.7,227144600,3.60361111111111
"34","2016-01-28",51.2,2.5,244932000,0.127222222222222
"35","2016-01-28",51.2,2.4,244932000,7.08583333333334
"36","2016-01-28",51.2,-4.4,235113634,0.536111111111111
"37","2016-01-28",51.2,-4.5,235113634,0.813333333333333
"38","2016-01-28",51.2,-4.6,235113634,1.50097222222222
"39","2016-01-28",51.2,-4.7,235113634,2.50763888888889
"40","2016-01-28",51.2,-10.2,224048290,0.786805555555556
"41","2016-01-28",51.2,-10.1,224048290,1.05791666666667
"42","2016-01-28",51.2,2.8,205273000,4.04
"43","2016-01-28",51.2,1.8,227102900,2.86763888888889
"44","2016-01-28",51.2,1.6,227102900,0.515277777777778
"45","2016-01-28",51.2,1.9,227102900,0.992638888888889
"46","2016-01-28",51.2,1.7,227102900,1.98833333333333
"47","2016-01-28",51.2,1.7,227143100,2.97902777777778
"48","2016-01-28",51.2,1.6,227143100,1.06222222222222
"49","2016-01-28",51.2,2.1,227141600,0.220694444444444
"50","2016-01-28",51.2,1.9,227141600,1.97958333333333
"51","2016-01-28",51.2,1.8,227141600,0.475138888888889
"52","2016-01-28",51.2,1.7,227141600,1.61125
"53","2016-01-28",51.2,2,227141600,2.12458333333333
"54","2016-01-28",51.2,2,226230000,0.253194444444444
"55","2016-01-28",51.2,1.6,226230000,2.45986111111111
"56","2016-01-28",51.2,1.7,226230000,1.98513888888889
"57","2016-01-28",51.2,1.9,226230000,1.22597222222222
"58","2016-01-28",51.2,2.1,226230000,1.38652777777778
"59","2016-01-28",51.2,1.9,227142900,1.33
"60","2016-01-28",51.2,1.6,227142900,1.06402777777778
"72","2016-01-28",51.3,-10.4,224384000,0.854305555555556
"73","2016-01-28",51.3,-10.3,224384000,3.20152777777778
"74","2016-01-28",51.3,-10.5,224384000,1.25680555555556
"75","2016-01-28",51.3,-6,250000897,1.26027777777778
"76","2016-01-28",51.3,2.4,244245000,0.831944444444444
"77","2016-01-28",51.3,2.3,244245000,2.83611111111111
"78","2016-01-28",51.3,-5.3,205322000,3.61277777777778
"79","2016-01-28",51.3,-5.2,205322000,4.31708333333333
"80","2016-01-28",51.3,-5.4,205322000,0.406527777777778
"81","2016-01-28",51.3,-8.6,250001702,5.82
"82","2016-01-28",51.3,-8.7,250001702,0.921527777777778
