"","date","lat_bin","lon_bin","mmsi","fishing_hours"
"8","2016-01-14",51.2,-5.3,205322000,1.53805555555556
"9","2016-01-14",51.2,-5.2,205322000,1.41152777777778
"12","2016-01-14",51.2,-8.8,250105650,3.14208333333333
"13","2016-01-14",51.2,-8.7,250105650,1.30055555555556
"14","2016-01-14",51.2,-8.4,250105650,1.56805555555556
"15","2016-01-14",51.2,-8.9,250105650,0.683888888888889
"16","2016-01-14",51.2,-8.5,250105650,2.36222222222222
"17","2016-01-14",51.2,-8.6,250105650,1.57611111111111
"18","2016-01-14",51.2,2.2,244179000,0.285555555555556
"19","2016-01-14",51.2,2,244179000,0.251388888888889
"20","2016-01-14",51.2,1.8,244179000,2.17666666666667
"21","2016-01-14",51.2,2.1,244179000,0.829166666666667
"22","2016-01-14",51.2,1.9,244179000,0.716805555555556
"23","2016-01-14",51.2,2.1,227324000,1.39305555555556
"24","2016-01-14",51.2,-8.5,250001269,4.75833333333333
"25","2016-01-14",51.2,-8.4,250001269,0.529444444444444
"26","2016-01-14",51.2,-8.8,250001269,2.62819444444444
"27","2016-01-14",51.2,-8.6,250001269,2.86805555555556
"28","2016-01-14",51.2,-8.7,250001269,2.89166666666667
"29","2016-01-14",51.2,-8.9,250001269,0.785972222222222
"32","2016-01-14",51.2,-14.2,232006270,3.31513888888889
"33","2016-01-14",51.2,-14.3,232006270,8.23166666666667
"34","2016-01-14",51.2,2.1,227106700,4.16097222222222
"35","2016-01-14",51.2,2.2,227106700,1.20763888888889
"36","2016-01-14",51.2,1.6,227138700,4.82805555555556
"37","2016-01-14",51.2,2.3,245370000,7.725
"38","2016-01-14",51.2,2.4,245370000,0.521666666666667
"39","2016-01-14",51.2,1.9,227144600,0.78625
"40","2016-01-14",51.2,2,227144600,1.05277777777778
"41","2016-01-14",51.2,-6.3,250000283,2.23111111111111
"42","2016-01-14",51.2,-6.2,250000283,2.01013888888889
"43","2016-01-14",51.2,2.5,244932000,1.77638888888889
"44","2016-01-14",51.2,-4.4,235113634,0.55
"45","2016-01-14",51.2,-4.5,235113634,3.04152777777778
"46","2016-01-14",51.2,-4.7,235113634,1.59194444444444
"47","2016-01-14",51.2,-4.6,235113634,1.33736111111111
"50","2016-01-14",51.2,2.2,227102900,1.36111111111111
"51","2016-01-14",51.2,2.1,227102900,2.3625
