"","X","date","lat_bin","lon_bin","mmsi","fishing_hours","geartype","flag","month","year"
"1",5,2016-01-29,51.2,-6.1,250000897,9.50986111111111,"trawlers","IRL",1,2016
"2",6,2016-01-29,51.2,-6,250000897,7.56152777777778,"trawlers","IRL",1,2016
"3",7,2016-01-29,51.2,-5.3,205322000,2.82236111111111,"trawlers","BEL",1,2016
"4",8,2016-01-29,51.2,-5.2,205322000,0.259861111111111,"trawlers","BEL",1,2016
"5",10,2016-01-29,51.2,2.8,205150000,0.50375,"trawlers","BEL",1,2016
"6",11,2016-01-29,51.2,-6,226216000,2.43763888888889,"trawlers","FRA",1,2016
"7",14,2016-01-29,51.2,-14.2,232006270,2.08847222222222,"fixed_gear","GBR",1,2016
"8",15,2016-01-29,51.2,-14.3,232006270,4.26097222222222,"fixed_gear","GBR",1,2016
"9",16,2016-01-29,51.2,-10.1,224048290,1.05986111111111,"trawlers","ESP",1,2016
"10",17,2016-01-29,51.2,-10.2,224048290,1.03986111111111,"trawlers","ESP",1,2016
"11",18,2016-01-29,51.2,-9.9,224048290,1.11847222222222,"trawlers","ESP",1,2016
"12",19,2016-01-29,51.2,-9.7,224048290,0.256527777777778,"trawlers","ESP",1,2016
"13",20,2016-01-29,51.2,-10.3,224048290,0.843888888888889,"trawlers","ESP",1,2016
"14",21,2016-01-29,51.2,-10,224048290,1.57722222222222,"trawlers","ESP",1,2016
"15",22,2016-01-29,51.2,-9.8,224048290,1.03055555555556,"trawlers","ESP",1,2016
"16",23,2016-01-29,51.2,2.8,205273000,4.85,"trawlers","BEL",1,2016
"17",24,2016-01-29,51.2,2.7,205273000,0.372777777777778,"trawlers","BEL",1,2016
"18",47,2016-01-29,51.3,-5.3,205322000,4.58680555555556,"trawlers","BEL",1,2016
"19",54,2016-01-29,51.3,-6,226216000,1.79958333333333,"trawlers","FRA",1,2016
"20",55,2016-01-29,51.3,-14.4,232006270,1.46805555555556,"fixed_gear","GBR",1,2016
"21",56,2016-01-29,51.3,-14,232006270,3.56180555555556,"fixed_gear","GBR",1,2016
"22",97,2016-01-29,51.4,-5.3,205322000,3.07541666666667,"trawlers","BEL",1,2016
"23",98,2016-01-29,51.4,4,244740629,0.130555555555556,"trawlers","NLD",1,2016
"24",99,2016-01-29,51.4,4.1,244740629,1.17166666666667,"trawlers","NLD",1,2016
"25",118,2016-01-29,51.4,-6,226216000,8.145,"trawlers","FRA",1,2016
"26",127,2016-01-29,51.4,-14,232006270,0.492083333333333,"fixed_gear","GBR",1,2016
"27",128,2016-01-29,51.4,-13.9,232006270,0.358333333333333,"fixed_gear","GBR",1,2016
"28",129,2016-01-29,51.4,4,244780417,1.35694444444444,"trawlers","NLD",1,2016
"29",132,2016-01-29,51.4,4,244750739,2.76972222222222,"trawlers","NLD",1,2016
"30",133,2016-01-29,51.4,4,245476000,0.713472222222222,"trawlers","NLD",1,2016
"31",135,2016-01-29,51.4,4,244615597,5.39861111111111,"trawlers","NLD",1,2016
"32",136,2016-01-29,51.4,4,924467387,2.11513888888889,"trawlers","UNK",1,2016
"33",142,2016-01-29,51.4,-6.4,250000626,6.17638888888889,"trawlers","IRL",1,2016
"34",181,2016-01-29,51.5,3.9,244873000,1.17791666666667,"trawlers","NLD",1,2016
"35",199,2016-01-29,51.5,-14.1,250105700,2.27708333333333,"trawlers","IRL",1,2016
"36",200,2016-01-29,51.5,-14.2,250105700,3.88319444444444,"trawlers","IRL",1,2016
"37",206,2016-01-29,51.5,4,244780417,0.772222222222222,"trawlers","NLD",1,2016
"38",207,2016-01-29,51.5,1.8,232006030,1.64819444444444,"trawlers","GBR",1,2016
"39",208,2016-01-29,51.5,1.9,232006030,7.40277777777778,"trawlers","GBR",1,2016
"40",210,2016-01-29,51.5,4,244750739,0.133888888888889,"trawlers","NLD",1,2016
"41",211,2016-01-29,51.5,4.1,244780474,0.295,"fixed_gear","NLD",1,2016
"42",212,2016-01-29,51.5,4,924467387,0.264166666666667,"trawlers","UNK",1,2016
"43",259,2016-01-29,51.6,-14.1,250240000,0.98875,"trawlers","IRL",1,2016
"44",260,2016-01-29,51.6,-14.2,250240000,1.76638888888889,"trawlers","IRL",1,2016
"45",261,2016-01-29,51.6,-14.3,250240000,3.61722222222222,"trawlers","IRL",1,2016
"46",271,2016-01-29,51.6,-14.3,250184000,17.8976388888889,"trawlers","IRL",1,2016
"47",277,2016-01-29,51.6,-14,250105700,2.14430555555556,"trawlers","IRL",1,2016
"48",283,2016-01-29,51.6,1.9,232006030,8.54902777777778,"trawlers","GBR",1,2016
"49",286,2016-01-29,51.6,-53.7,316323000,1.16722222222222,"trawlers","CAN",1,2016
"50",287,2016-01-29,51.6,-53.8,316323000,1.24361111111111,"trawlers","CAN",1,2016
"51",288,2016-01-29,51.6,-14.7,235004110,13.8944444444444,"drifting_longlines","GBR",1,2016
"52",354,2016-01-29,51.7,-14.1,250240000,6.22513888888889,"trawlers","IRL",1,2016
"53",360,2016-01-29,51.7,4.7,244750410,1.58041666666667,"fixed_gear","NLD",1,2016
"54",361,2016-01-29,51.7,4.6,244750410,0.270694444444444,"fixed_gear","NLD",1,2016
"55",364,2016-01-29,51.7,-14,250105700,2.06763888888889,"trawlers","IRL",1,2016
"56",366,2016-01-29,51.7,-11.8,224273000,1.20013888888889,"trawlers","ESP",1,2016
"57",367,2016-01-29,51.7,-11.5,224273000,7.17236111111111,"trawlers","ESP",1,2016
"58",368,2016-01-29,51.7,-11.7,224273000,5.70555555555556,"trawlers","ESP",1,2016
"59",372,2016-01-29,51.7,-53.8,316323000,3.31625,"trawlers","CAN",1,2016
"60",373,2016-01-29,51.7,-53.7,316323000,1.77180555555556,"trawlers","CAN",1,2016
"61",374,2016-01-29,51.7,-14.7,235004110,11.0836111111111,"drifting_longlines","GBR",1,2016
"62",375,2016-01-29,51.7,3.9,244750560,0.815277777777778,"trawlers","NLD",1,2016
"63",376,2016-01-29,51.7,3.8,244750560,2.13152777777778,"trawlers","NLD",1,2016
"64",452,2016-01-29,51.8,-14.1,250240000,4.64097222222222,"trawlers","IRL",1,2016
"65",453,2016-01-29,51.8,-14,250240000,6.97569444444444,"trawlers","IRL",1,2016
"66",457,2016-01-29,51.8,-14,250105700,0.450972222222222,"trawlers","IRL",1,2016
"67",460,2016-01-29,51.8,-14.1,250350000,1.51680555555556,"trawlers","IRL",1,2016
"68",461,2016-01-29,51.8,-53.9,316323000,1.14472222222222,"trawlers","CAN",1,2016
"69",462,2016-01-29,51.8,-53.7,316323000,1.52027777777778,"trawlers","CAN",1,2016
"70",463,2016-01-29,51.8,-53.8,316323000,1.80333333333333,"trawlers","CAN",1,2016
"71",543,2016-01-29,51.9,-13.9,250184000,10.1345833333333,"trawlers","IRL",1,2016
"72",547,2016-01-29,51.9,-14.1,250350000,2.54388888888889,"trawlers","IRL",1,2016
"73",548,2016-01-29,51.9,-13.9,250350000,2.6825,"trawlers","IRL",1,2016
"74",549,2016-01-29,51.9,-14,250350000,4.05041666666667,"trawlers","IRL",1,2016
"75",553,2016-01-29,51.9,-53.9,316323000,2.39319444444444,"trawlers","CAN",1,2016
"76",554,2016-01-29,51.9,-53.7,316323000,0.33375,"trawlers","CAN",1,2016
"77",555,2016-01-29,51.9,-53.6,316323000,0.602361111111111,"trawlers","CAN",1,2016
"78",622,2016-01-29,52,-13.9,250350000,1.77222222222222,"trawlers","IRL",1,2016
"79",623,2016-01-29,52,-14,250350000,0.425416666666667,"trawlers","IRL",1,2016
"80",627,2016-01-29,52,-53.9,316323000,1.67527777777778,"trawlers","CAN",1,2016
"81",628,2016-01-29,52,-53.6,316323000,1.71527777777778,"trawlers","CAN",1,2016
"82",629,2016-01-29,52,-53.7,316323000,0.430555555555556,"trawlers","CAN",1,2016
"83",670,2016-01-29,52.1,-15.8,227583000,1.57458333333333,"trawlers","FRA",1,2016
"84",671,2016-01-29,52.1,-15.4,227583000,1.11069444444444,"trawlers","FRA",1,2016
"85",672,2016-01-29,52.1,-15.3,227583000,0.743055555555556,"trawlers","FRA",1,2016
"86",673,2016-01-29,52.1,-15.7,227583000,1.02638888888889,"trawlers","FRA",1,2016
"87",674,2016-01-29,52.1,-15.5,227583000,1.10708333333333,"trawlers","FRA",1,2016
"88",675,2016-01-29,52.1,-15.6,227583000,6.32361111111111,"trawlers","FRA",1,2016
"89",676,2016-01-29,52.1,-15.2,227583000,0.490416666666667,"trawlers","FRA",1,2016
"90",677,2016-01-29,52.1,-9.9,250000707,0.500555555555556,"trawlers","IRL",1,2016
"91",678,2016-01-29,52.1,-11.3,227377000,2.25541666666667,"trawlers","FRA",1,2016
"92",679,2016-01-29,52.1,4,235103397,0.528611111111111,"trawlers","GBR",1,2016
"93",680,2016-01-29,52.1,4.2,235103397,0.583611111111111,"trawlers","GBR",1,2016
"94",681,2016-01-29,52.1,4.1,235103397,2.37611111111111,"trawlers","GBR",1,2016
"95",682,2016-01-29,52.1,4.1,235103398,0.8425,"trawlers","GBR",1,2016
"96",686,2016-01-29,52.1,-13.7,250350000,5.66513888888889,"trawlers","IRL",1,2016
"97",687,2016-01-29,52.1,-13.8,250350000,4.53152777777778,"trawlers","IRL",1,2016
"98",688,2016-01-29,52.1,-53.6,316323000,0.539444444444445,"trawlers","CAN",1,2016
"99",689,2016-01-29,52.1,-53.7,316323000,1.08194444444444,"trawlers","CAN",1,2016
"100",690,2016-01-29,52.1,-53.9,316323000,0.604027777777778,"trawlers","CAN",1,2016
"101",725,2016-01-29,52.2,-53.9,316010000,7.315,"trawlers","CAN",1,2016
"102",726,2016-01-29,52.2,-15.1,227583000,1.73375,"trawlers","FRA",1,2016
"103",727,2016-01-29,52.2,-15.2,227583000,5.01013888888889,"trawlers","FRA",1,2016
"104",728,2016-01-29,52.2,-15.3,227583000,4.08166666666667,"trawlers","FRA",1,2016
"105",729,2016-01-29,52.2,3.9,245159000,0.526805555555556,"trawlers","NLD",1,2016
"106",737,2016-01-29,52.2,-53.9,316323000,1.95819444444444,"trawlers","CAN",1,2016
"107",782,2016-01-29,52.3,3.8,246464000,0.728333333333333,"trawlers","NLD",1,2016
"108",783,2016-01-29,52.3,3.9,246464000,0.724861111111111,"trawlers","NLD",1,2016
