"","X","date","lat_bin","lon_bin","mmsi","fishing_hours","geartype","flag","month","year"
"1",9,2016-01-17,51.2,-6.4,250000897,4.36416666666667,"trawlers","IRL",1,2016
"2",10,2016-01-17,51.2,-8.7,250000908,2.89291666666667,"trawlers","IRL",1,2016
"3",11,2016-01-17,51.2,-8.2,250000908,0.805833333333333,"trawlers","IRL",1,2016
"4",12,2016-01-17,51.2,-8.4,250000908,4.16583333333333,"trawlers","IRL",1,2016
"5",13,2016-01-17,51.2,-8.3,250000908,3.64402777777778,"trawlers","IRL",1,2016
"6",14,2016-01-17,51.2,-8.5,250000908,3.01666666666667,"trawlers","IRL",1,2016
"7",15,2016-01-17,51.2,-8.6,250000908,4.42361111111111,"trawlers","IRL",1,2016
"8",16,2016-01-17,51.2,-8.8,250000908,1.5575,"trawlers","IRL",1,2016
"9",17,2016-01-17,51.2,2.1,227300110,0.513055555555556,"fixed_gear","FRA",1,2016
"10",18,2016-01-17,51.2,-5.1,205162000,0.576666666666667,"trawlers","BEL",1,2016
"11",19,2016-01-17,51.2,-5,205162000,0.544444444444445,"trawlers","BEL",1,2016
"12",20,2016-01-17,51.2,2.2,227595050,0.487916666666667,"fixed_gear","FRA",1,2016
"13",21,2016-01-17,51.2,-4.9,235038812,6.42930555555555,"trawlers","GBR",1,2016
"14",22,2016-01-17,51.2,-4.8,235038812,1.35027777777778,"trawlers","GBR",1,2016
"15",23,2016-01-17,51.2,-9.1,250470000,0.904305555555555,"trawlers","IRL",1,2016
"16",24,2016-01-17,51.2,-8.4,250001269,0.795555555555555,"trawlers","IRL",1,2016
"17",25,2016-01-17,51.2,-8.9,250001269,1.56916666666667,"trawlers","IRL",1,2016
"18",26,2016-01-17,51.2,-8.8,250001269,3.47875,"trawlers","IRL",1,2016
"19",27,2016-01-17,51.2,-8.5,250001269,1.72388888888889,"trawlers","IRL",1,2016
"20",28,2016-01-17,51.2,-8.7,250001269,3.90694444444444,"trawlers","IRL",1,2016
"21",29,2016-01-17,51.2,-8.6,250001269,1.17166666666667,"trawlers","IRL",1,2016
"22",30,2016-01-17,51.2,2.6,205307000,0.389305555555556,"fixed_gear","BEL",1,2016
"23",32,2016-01-17,51.2,-14.3,232006270,8.84236111111111,"fixed_gear","GBR",1,2016
"24",33,2016-01-17,51.2,-14.2,232006270,11.6698611111111,"fixed_gear","GBR",1,2016
"25",34,2016-01-17,51.2,-14.1,232006270,2.57430555555556,"fixed_gear","GBR",1,2016
"26",35,2016-01-17,51.2,-9.6,250001293,0.304583333333333,"trawlers","IRL",1,2016
"27",36,2016-01-17,51.2,-9.3,250001293,1.24736111111111,"trawlers","IRL",1,2016
"28",37,2016-01-17,51.2,-9.2,250001293,0.259444444444444,"trawlers","IRL",1,2016
"29",38,2016-01-17,51.2,-9.4,250001293,1.08652777777778,"trawlers","IRL",1,2016
"30",39,2016-01-17,51.2,-9.5,250001293,1.19277777777778,"trawlers","IRL",1,2016
"31",40,2016-01-17,51.2,-9.7,250223000,1.75416666666667,"trawlers","IRL",1,2016
"32",41,2016-01-17,51.2,-9.8,250223000,1.64694444444444,"trawlers","IRL",1,2016
"33",42,2016-01-17,51.2,-4.5,235113634,0.535,"fixed_gear","GBR",1,2016
"34",43,2016-01-17,51.2,-4.4,235113634,0.782777777777778,"fixed_gear","GBR",1,2016
"35",44,2016-01-17,51.2,-4.6,235113634,0.865,"fixed_gear","GBR",1,2016
"36",45,2016-01-17,51.2,-4.7,235113634,2.53625,"fixed_gear","GBR",1,2016
"37",46,2016-01-17,51.2,-6.2,232006310,7.13027777777778,"trawlers","GBR",1,2016
"38",47,2016-01-17,51.2,2.4,205273000,3.43027777777778,"trawlers","BEL",1,2016
"39",48,2016-01-17,51.2,2.3,205273000,0.128888888888889,"trawlers","BEL",1,2016
"40",49,2016-01-17,51.2,2.1,205273000,2.74319444444444,"trawlers","BEL",1,2016
"41",50,2016-01-17,51.2,-5.8,205241000,3.22736111111111,"trawlers","BEL",1,2016
"42",51,2016-01-17,51.2,-7.8,250132400,1.72333333333333,"trawlers","IRL",1,2016
"43",52,2016-01-17,51.2,2.8,205271000,1.84333333333333,"trawlers","BEL",1,2016
"44",53,2016-01-17,51.2,-6.6,250262000,7.04486111111111,"trawlers","IRL",1,2016
"45",54,2016-01-17,51.2,-8.1,250379000,0.475,"trawlers","IRL",1,2016
"46",55,2016-01-17,51.2,-8.4,250379000,3.82819444444444,"trawlers","IRL",1,2016
"47",56,2016-01-17,51.2,-8.6,250379000,4.15166666666667,"trawlers","IRL",1,2016
"48",57,2016-01-17,51.2,-8.2,250379000,3.13013888888889,"trawlers","IRL",1,2016
"49",58,2016-01-17,51.2,-8.3,250379000,3.74263888888889,"trawlers","IRL",1,2016
"50",59,2016-01-17,51.2,-8.5,250379000,4.90138888888889,"trawlers","IRL",1,2016
"51",60,2016-01-17,51.2,-8.7,250379000,1.30458333333333,"trawlers","IRL",1,2016
"52",61,2016-01-17,51.2,-5.1,205227000,0.516666666666667,"trawlers","BEL",1,2016
"53",62,2016-01-17,51.2,-5,205227000,1.04111111111111,"trawlers","BEL",1,2016
"54",74,2016-01-17,51.3,-6.2,250002435,18.7066666666667,"trawlers","IRL",1,2016
"55",75,2016-01-17,51.3,-6.3,250002435,4.51819444444444,"trawlers","IRL",1,2016
"56",76,2016-01-17,51.3,-6.4,250002435,1.56958333333333,"trawlers","IRL",1,2016
"57",77,2016-01-17,51.3,-8.7,250000908,0.98375,"trawlers","IRL",1,2016
"58",78,2016-01-17,51.3,-8.5,250000908,0.70125,"trawlers","IRL",1,2016
"59",79,2016-01-17,51.3,-8.6,250000908,1.47180555555556,"trawlers","IRL",1,2016
"60",80,2016-01-17,51.3,-5,205162000,2.19611111111111,"trawlers","BEL",1,2016
"61",81,2016-01-17,51.3,-8.6,250002714,1.31027777777778,"trawlers","IRL",1,2016
"62",82,2016-01-17,51.3,-8.4,250002714,0.150277777777778,"trawlers","IRL",1,2016
"63",83,2016-01-17,51.3,-8.7,250002714,1.45361111111111,"trawlers","IRL",1,2016
"64",84,2016-01-17,51.3,-8.5,250002714,1.33583333333333,"trawlers","IRL",1,2016
