"","X","date","lat_bin","lon_bin","mmsi","fishing_hours","geartype","flag","month","year"
"1",8,2016-01-18,51.2,2.8,244245000,0.388333333333333,"trawlers","NLD",1,2016
"2",9,2016-01-18,51.2,2.7,244245000,3.47763888888889,"trawlers","NLD",1,2016
"3",10,2016-01-18,51.2,2.6,244245000,1.05930555555556,"trawlers","NLD",1,2016
"4",11,2016-01-18,51.2,-8.1,250000908,4.025,"trawlers","IRL",1,2016
"5",12,2016-01-18,51.2,-8,250000908,2.56125,"trawlers","IRL",1,2016
"6",13,2016-01-18,51.2,-8.2,250000908,4.51583333333333,"trawlers","IRL",1,2016
"7",14,2016-01-18,51.2,-8.5,250000908,1.57583333333333,"trawlers","IRL",1,2016
"8",15,2016-01-18,51.2,2.1,227300110,4.15027777777778,"fixed_gear","FRA",1,2016
"9",16,2016-01-18,51.2,2.2,227300110,3.18180555555556,"fixed_gear","FRA",1,2016
"10",17,2016-01-18,51.2,-5.3,205322000,1.29222222222222,"trawlers","BEL",1,2016
"11",18,2016-01-18,51.2,-9.3,250000657,4.99861111111111,"trawlers","IRL",1,2016
"12",19,2016-01-18,51.2,-9.2,250000657,0.294444444444444,"trawlers","IRL",1,2016
"13",20,2016-01-18,51.2,2.2,227595050,7.61319444444444,"fixed_gear","FRA",1,2016
"14",21,2016-01-18,51.2,-9.3,250000699,2.91930555555556,"trawlers","IRL",1,2016
"15",22,2016-01-18,51.2,2.1,227322180,0.565972222222222,"trawlers","FRA",1,2016
"16",23,2016-01-18,51.2,2,244221000,1.17152777777778,"trawlers","NLD",1,2016
"17",24,2016-01-18,51.2,2.8,245415000,0.392916666666667,"trawlers","NLD",1,2016
"18",25,2016-01-18,51.2,2.2,227318640,1.67819444444444,"fixed_gear","FRA",1,2016
"19",26,2016-01-18,51.2,2.1,227318640,2.22666666666667,"fixed_gear","FRA",1,2016
"20",27,2016-01-18,51.2,-8.8,250001269,0.787916666666667,"trawlers","IRL",1,2016
"21",28,2016-01-18,51.2,-8.7,250001269,1.03291666666667,"trawlers","IRL",1,2016
"22",29,2016-01-18,51.2,2.7,205307000,0.282361111111111,"fixed_gear","BEL",1,2016
