"","X","date","lat_bin","lon_bin","mmsi","fishing_hours","geartype","flag","month","year"
"1",15,2016-01-03,51.2,1.9,227106400,6.81236111111111,"trawlers","FRA",1,2016
"2",16,2016-01-03,51.2,2,227106400,4.50236111111111,"trawlers","FRA",1,2016
"3",17,2016-01-03,51.2,1.9,227324000,5.64277777777778,"trawlers","FRA",1,2016
"4",18,2016-01-03,51.2,2,227324000,3.84375,"trawlers","FRA",1,2016
"5",19,2016-01-03,51.2,2.8,205273000,1.55083333333333,"trawlers","BEL",1,2016
"6",20,2016-01-03,51.2,2.9,205273000,1.37694444444444,"trawlers","BEL",1,2016
"7",21,2016-01-03,51.2,2.7,205273000,0.396388888888889,"trawlers","BEL",1,2016
"8",22,2016-01-03,51.2,-5.8,205241000,4.46861111111111,"trawlers","BEL",1,2016
"9",23,2016-01-03,51.2,1.9,227104700,6.60625,"trawlers","FRA",1,2016
"10",24,2016-01-03,51.2,2,227104700,6.09513888888889,"trawlers","FRA",1,2016
"11",25,2016-01-03,51.2,2.8,205272000,0.141805555555556,"trawlers","BEL",1,2016
"12",26,2016-01-03,51.2,2.7,205272000,0.131944444444444,"trawlers","BEL",1,2016
"13",27,2016-01-03,51.2,-14.2,235004110,1.75194444444444,"drifting_longlines","GBR",1,2016
"14",28,2016-01-03,51.2,-14.4,235004110,12.3531944444444,"drifting_longlines","GBR",1,2016
"15",29,2016-01-03,51.2,-14.3,235004110,2.62625,"drifting_longlines","GBR",1,2016
"16",30,2016-01-03,51.2,3,205026000,2.58236111111111,"trawlers","BEL",1,2016
"17",31,2016-01-03,51.2,2.9,205026000,2.57555555555556,"trawlers","BEL",1,2016
"18",32,2016-01-03,51.2,1.9,227141600,1.585,"trawlers","FRA",1,2016
"19",33,2016-01-03,51.2,2.1,246273000,8.51972222222222,"trawlers","NLD",1,2016
"20",34,2016-01-03,51.2,2.2,246273000,1.99569444444444,"trawlers","NLD",1,2016
"21",35,2016-01-03,51.2,1.9,226230000,2.49763888888889,"trawlers","FRA",1,2016
"22",36,2016-01-03,51.2,2,226230000,0.781805555555556,"trawlers","FRA",1,2016
"23",37,2016-01-03,51.2,1.9,227142900,0.126944444444444,"trawlers","FRA",1,2016
"24",38,2016-01-03,76.8,12.8,273352280,0.759444444444444,"trawlers","RUS",1,2016
"25",39,2016-01-03,76.8,12.9,273352280,0.349305555555556,"trawlers","RUS",1,2016
"26",40,2016-01-03,76.8,13,273352280,0.481944444444444,"trawlers","RUS",1,2016
"27",55,2016-01-03,51.3,3.2,245235000,1.59833333333333,"trawlers","NLD",1,2016
"28",56,2016-01-03,51.3,3.3,245235000,2.59111111111111,"trawlers","NLD",1,2016
"29",57,2016-01-03,51.3,3.1,205010000,4.825,"trawlers","BEL",1,2016
"30",58,2016-01-03,51.3,1.9,205275000,6.80402777777778,"trawlers","BEL",1,2016
"31",59,2016-01-03,51.3,2,205275000,0.598472222222222,"trawlers","BEL",1,2016
"32",60,2016-01-03,51.3,-5.8,205241000,5.97777777777778,"trawlers","BEL",1,2016
"33",61,2016-01-03,51.3,-5.7,205241000,7.39013888888889,"trawlers","BEL",1,2016
"34",62,2016-01-03,51.3,-14.5,235004110,5.69916666666667,"drifting_longlines","GBR",1,2016
"35",63,2016-01-03,51.3,3,205026000,2.49,"trawlers","BEL",1,2016
"36",64,2016-01-03,51.3,3.1,205026000,8.23236111111111,"trawlers","BEL",1,2016
"37",65,2016-01-03,51.3,2,205153000,1.23013888888889,"trawlers","BEL",1,2016
"38",66,2016-01-03,51.3,1.9,205153000,0.145833333333333,"trawlers","BEL",1,2016
"39",67,2016-01-03,51.3,2.1,205153000,0.199444444444444,"trawlers","BEL",1,2016
"40",68,2016-01-03,76.9,12.5,273352280,0.757222222222222,"trawlers","RUS",1,2016
"41",69,2016-01-03,76.9,12.4,273352280,0.818055555555556,"trawlers","RUS",1,2016
"42",70,2016-01-03,76.9,12.6,273352280,0.799166666666667,"trawlers","RUS",1,2016
"43",97,2016-01-03,51.4,2.1,205149000,1.03125,"trawlers","BEL",1,2016
"44",98,2016-01-03,51.4,2,205275000,5.29486111111111,"trawlers","BEL",1,2016
"45",101,2016-01-03,51.4,1.6,205165000,0.391944444444444,"trawlers","BEL",1,2016
"46",102,2016-01-03,51.4,1.9,205153000,0.832361111111111,"trawlers","BEL",1,2016
"47",103,2016-01-03,51.4,1.8,205153000,1.25569444444444,"trawlers","BEL",1,2016
"48",104,2016-01-03,77,12.3,273352280,0.779166666666667,"trawlers","RUS",1,2016
"49",128,2016-01-03,51.5,3.1,244245000,0.493333333333333,"trawlers","NLD",1,2016
"50",129,2016-01-03,51.5,3.2,245331000,0.785833333333333,"trawlers","NLD",1,2016
"51",130,2016-01-03,51.5,3.1,245331000,0.245972222222222,"trawlers","NLD",1,2016
"52",131,2016-01-03,51.5,2.2,205149000,9.50819444444445,"trawlers","BEL",1,2016
"53",132,2016-01-03,51.5,2.1,205149000,3.09569444444444,"trawlers","BEL",1,2016
"54",133,2016-01-03,51.5,-10,224658000,1.26069444444444,"fixed_gear","ESP",1,2016
"55",134,2016-01-03,51.5,2.9,245074000,4.93833333333333,"trawlers","NLD",1,2016
"56",135,2016-01-03,51.5,2,205275000,0.957777777777778,"trawlers","BEL",1,2016
"57",136,2016-01-03,51.5,2.2,205275000,4.36625,"trawlers","BEL",1,2016
"58",137,2016-01-03,51.5,2.1,205275000,1.24833333333333,"trawlers","BEL",1,2016
"59",139,2016-01-03,51.5,-14.2,250350000,2.10305555555556,"trawlers","IRL",1,2016
"60",140,2016-01-03,51.5,-14.1,250350000,3.18444444444444,"trawlers","IRL",1,2016
"61",141,2016-01-03,51.5,1.6,205165000,2.41819444444444,"trawlers","BEL",1,2016
"62",142,2016-01-03,51.5,1.8,205153000,2.0075,"trawlers","BEL",1,2016
"63",172,2016-01-03,51.6,2.3,205149000,1.43333333333333,"trawlers","BEL",1,2016
"64",173,2016-01-03,51.6,2.2,205149000,6.65138888888889,"trawlers","BEL",1,2016
"65",174,2016-01-03,51.6,2.1,205149000,0.530833333333333,"trawlers","BEL",1,2016
"66",175,2016-01-03,51.6,3,245074000,7.46819444444444,"trawlers","NLD",1,2016
"67",177,2016-01-03,51.6,1.9,205275000,2.05013888888889,"trawlers","BEL",1,2016
"68",180,2016-01-03,51.6,-14.1,250350000,2.24083333333333,"trawlers","IRL",1,2016
"69",181,2016-01-03,51.6,-14,250350000,1.93069444444444,"trawlers","IRL",1,2016
"70",182,2016-01-03,51.6,2,205059000,11.8073611111111,"trawlers","BEL",1,2016
"71",183,2016-01-03,51.6,1.6,205165000,0.520416666666667,"trawlers","BEL",1,2016
"72",184,2016-01-03,51.6,1.7,205165000,1.71625,"trawlers","BEL",1,2016
"73",185,2016-01-03,51.6,1.8,205153000,2.44722222222222,"trawlers","BEL",1,2016
"74",213,2016-01-03,51.7,2.2,205149000,1.18402777777778,"trawlers","BEL",1,2016
"75",214,2016-01-03,51.7,2.1,205149000,0.300555555555556,"trawlers","BEL",1,2016
"76",215,2016-01-03,51.7,1.2,235005282,4.97111111111111,"trawlers","GBR",1,2016
"77",216,2016-01-03,51.7,1.4,235005282,4.52930555555556,"trawlers","GBR",1,2016
"78",217,2016-01-03,51.7,1.1,235005282,0.3375,"trawlers","GBR",1,2016
"79",222,2016-01-03,51.7,2,205275000,5.25805555555556,"trawlers","BEL",1,2016
"80",228,2016-01-03,51.7,-8.1,250001559,0.394166666666667,"fixed_gear","IRL",1,2016
"81",229,2016-01-03,51.7,-14,250350000,4.66777777777778,"trawlers","IRL",1,2016
"82",230,2016-01-03,51.7,1.6,205165000,4.93888888888889,"trawlers","BEL",1,2016
"83",231,2016-01-03,51.7,1.7,205165000,7.40111111111111,"trawlers","BEL",1,2016
"84",232,2016-01-03,51.7,-8.2,250002911,0.782916666666667,"fixed_gear","IRL",1,2016
"85",233,2016-01-03,51.7,-8.3,250002911,0.504444444444444,"fixed_gear","IRL",1,2016
"86",234,2016-01-03,51.7,1.8,205153000,1.10152777777778,"trawlers","BEL",1,2016
"87",235,2016-01-03,51.7,1.9,205153000,0.400138888888889,"trawlers","BEL",1,2016
"88",259,2016-01-03,51.8,3.9,245247000,0.0919444444444444,"trawlers","NLD",1,2016
"89",260,2016-01-03,51.8,-13.6,232326000,5.80375,"fixed_gear","GBR",1,2016
"90",264,2016-01-03,51.8,1.6,205165000,1.28958333333333,"trawlers","BEL",1,2016
"91",283,2016-01-03,51.9,3.7,245074000,0.398611111111111,"trawlers","NLD",1,2016
