"","X","date","lat_bin","lon_bin","mmsi","fishing_hours","geartype","flag","month","year"
"1",9,2016-01-07,51.2,-7.9,228174600,1.38736111111111,"trawlers","FRA",1,2016
"2",10,2016-01-07,51.2,-8,228174600,3.76083333333333,"trawlers","FRA",1,2016
"3",11,2016-01-07,51.2,2,244245000,0.538888888888889,"trawlers","NLD",1,2016
"4",12,2016-01-07,51.2,2.5,244245000,0.300555555555556,"trawlers","NLD",1,2016
"5",13,2016-01-07,51.2,2.4,244245000,1.35180555555556,"trawlers","NLD",1,2016
"6",14,2016-01-07,51.2,2.1,227300110,1.33916666666667,"fixed_gear","FRA",1,2016
"7",15,2016-01-07,51.2,2.2,227300110,3.0775,"fixed_gear","FRA",1,2016
"8",16,2016-01-07,51.2,-5.4,205322000,0.523472222222222,"trawlers","BEL",1,2016
"9",17,2016-01-07,51.2,-5.1,205322000,1.78888888888889,"trawlers","BEL",1,2016
"10",18,2016-01-07,51.2,-5.5,205322000,0.9325,"trawlers","BEL",1,2016
"11",19,2016-01-07,51.2,-5.2,205322000,0.775555555555556,"trawlers","BEL",1,2016
"12",20,2016-01-07,51.2,-5,205322000,0.255138888888889,"trawlers","BEL",1,2016
"13",21,2016-01-07,51.2,2.2,227595050,3.86791666666667,"fixed_gear","FRA",1,2016
"14",22,2016-01-07,51.2,2.4,245331000,0.270416666666667,"trawlers","NLD",1,2016
"15",23,2016-01-07,51.2,2,245331000,0.397361111111111,"trawlers","NLD",1,2016
"16",24,2016-01-07,51.2,2.2,245331000,0.130694444444444,"trawlers","NLD",1,2016
"17",25,2016-01-07,51.2,2.1,245331000,0.520972222222222,"trawlers","NLD",1,2016
"18",26,2016-01-07,51.2,-6.3,250002776,10.3615277777778,"trawlers","IRL",1,2016
"19",27,2016-01-07,51.2,-4.7,235071582,0.266944444444444,"fixed_gear","GBR",1,2016
"20",28,2016-01-07,51.2,2.4,227106400,0.718194444444444,"trawlers","FRA",1,2016
"21",29,2016-01-07,51.2,2.1,245148000,1.05236111111111,"trawlers","NLD",1,2016
"22",30,2016-01-07,51.2,2.9,205308000,0.259305555555556,"trawlers","BEL",1,2016
"23",31,2016-01-07,51.2,2.6,244742000,0.850972222222222,"trawlers","NLD",1,2016
"24",32,2016-01-07,51.2,2.7,244742000,0.516944444444444,"trawlers","NLD",1,2016
"25",33,2016-01-07,51.2,2.8,244742000,0.57,"trawlers","NLD",1,2016
"26",34,2016-01-07,51.2,2.1,227318640,1.165,"fixed_gear","FRA",1,2016
"27",35,2016-01-07,51.2,2.2,227318640,1.62916666666667,"fixed_gear","FRA",1,2016
"28",37,2016-01-07,51.2,2.3,227311230,4.42694444444444,"fixed_gear","FRA",1,2016
"29",38,2016-01-07,51.2,2.4,227311230,0.870972222222222,"fixed_gear","FRA",1,2016
"30",39,2016-01-07,51.2,2,227106700,0.441388888888889,"trawlers","FRA",1,2016
"31",40,2016-01-07,51.2,1.8,227106700,1.80555555555556,"trawlers","FRA",1,2016
"32",41,2016-01-07,51.2,2.1,227106700,0.225,"trawlers","FRA",1,2016
"33",42,2016-01-07,51.2,1.9,227106700,0.806388888888889,"trawlers","FRA",1,2016
"34",43,2016-01-07,51.2,2.4,245370000,0.528333333333333,"trawlers","NLD",1,2016
"35",44,2016-01-07,51.2,2.3,245370000,0.849444444444444,"trawlers","NLD",1,2016
"36",45,2016-01-07,51.2,1.9,227144600,1.60041666666667,"trawlers","FRA",1,2016
