"","X","date","lat_bin","lon_bin","mmsi","fishing_hours","geartype","flag","month","year"
"1",5,2016-01-04,51.2,2.6,244245000,2.07305555555556,"trawlers","NLD",1,2016
"2",6,2016-01-04,51.2,2.5,244245000,1.78027777777778,"trawlers","NLD",1,2016
"3",7,2016-01-04,51.2,2,227141900,0.695,"trawlers","FRA",1,2016
"4",8,2016-01-04,51.2,1.9,227141900,7.93402777777778,"trawlers","FRA",1,2016
"5",9,2016-01-04,51.2,2.2,227300110,0.38625,"fixed_gear","FRA",1,2016
"6",11,2016-01-04,51.2,2,227117600,0.281944444444444,"trawlers","FRA",1,2016
"7",12,2016-01-04,51.2,1.9,227117600,6.98152777777778,"trawlers","FRA",1,2016
"8",13,2016-01-04,51.2,2.2,227595050,8.14291666666667,"fixed_gear","FRA",1,2016
"9",14,2016-01-04,51.2,2.7,245331000,0.527361111111111,"trawlers","NLD",1,2016
"10",15,2016-01-04,51.2,3,205010000,1.32111111111111,"trawlers","BEL",1,2016
"11",16,2016-01-04,51.2,2,226183000,1.3225,"trawlers","FRA",1,2016
"12",17,2016-01-04,51.2,1.9,226183000,6.92069444444445,"trawlers","FRA",1,2016
"13",18,2016-01-04,51.2,2,227106400,0.918333333333333,"trawlers","FRA",1,2016
"14",19,2016-01-04,51.2,1.9,227106400,3.75652777777778,"trawlers","FRA",1,2016
"15",20,2016-01-04,51.2,2,227324000,1.55097222222222,"trawlers","FRA",1,2016
"16",21,2016-01-04,51.2,1.6,227324000,0.133194444444444,"trawlers","FRA",1,2016
"17",22,2016-01-04,51.2,1.9,227324000,3.09625,"trawlers","FRA",1,2016
"18",23,2016-01-04,51.2,3,205308000,0.555,"trawlers","BEL",1,2016
"19",24,2016-01-04,51.2,2.9,205308000,0.654722222222222,"trawlers","BEL",1,2016
"20",25,2016-01-04,51.2,2.5,244742000,2.77958333333333,"trawlers","NLD",1,2016
"21",26,2016-01-04,51.2,2.4,244742000,3.33333333333333,"trawlers","NLD",1,2016
"22",27,2016-01-04,51.2,2.2,227318640,0.692777777777778,"fixed_gear","FRA",1,2016
"23",28,2016-01-04,51.2,2.1,227318640,0.262083333333333,"fixed_gear","FRA",1,2016
"24",29,2016-01-04,51.2,2,205275000,0.488611111111111,"trawlers","BEL",1,2016
"25",30,2016-01-04,51.2,2.6,205307000,0.658055555555556,"fixed_gear","BEL",1,2016
"26",31,2016-01-04,51.2,-6,250126460,5.34833333333333,"trawlers","IRL",1,2016
"27",32,2016-01-04,51.2,2,227106700,4.47583333333333,"trawlers","FRA",1,2016
"28",33,2016-01-04,51.2,1.9,227106700,1.09208333333333,"trawlers","FRA",1,2016
"29",34,2016-01-04,51.2,2.1,227106700,0.702083333333333,"trawlers","FRA",1,2016
"30",35,2016-01-04,51.2,1.9,227138700,2.08986111111111,"trawlers","FRA",1,2016
"31",36,2016-01-04,51.2,2,227138700,1.80055555555556,"trawlers","FRA",1,2016
"32",37,2016-01-04,51.2,2.1,245370000,4.56041666666667,"trawlers","NLD",1,2016
"33",38,2016-01-04,51.2,2,245370000,5.41194444444444,"trawlers","NLD",1,2016
"34",39,2016-01-04,51.2,1.9,245370000,0.265972222222222,"trawlers","NLD",1,2016
"35",40,2016-01-04,51.2,2,227144600,1.57041666666667,"trawlers","FRA",1,2016
"36",41,2016-01-04,51.2,1.9,227144600,10.7966666666667,"trawlers","FRA",1,2016
"37",42,2016-01-04,51.2,2.5,244932000,7.02916666666667,"trawlers","NLD",1,2016
"38",43,2016-01-04,51.2,2.7,244932000,0.280555555555556,"trawlers","NLD",1,2016
"39",44,2016-01-04,51.2,2.6,244932000,7.05555555555556,"trawlers","NLD",1,2016
"40",45,2016-01-04,51.2,2.7,205273000,2.10472222222222,"trawlers","BEL",1,2016
"41",46,2016-01-04,51.2,2.8,205273000,1.13958333333333,"trawlers","BEL",1,2016
"42",47,2016-01-04,51.2,-5.8,205241000,1.17444444444444,"trawlers","BEL",1,2016
"43",48,2016-01-04,51.2,-5.9,205241000,6.60708333333333,"trawlers","BEL",1,2016
"44",49,2016-01-04,51.2,-10.3,235059379,1.90472222222222,"trawlers","GBR",1,2016
"45",50,2016-01-04,51.2,2,227102900,1.62791666666667,"trawlers","FRA",1,2016
"46",51,2016-01-04,51.2,1.9,227102900,2.88125,"trawlers","FRA",1,2016
"47",52,2016-01-04,51.2,2.7,205272000,1.02152777777778,"trawlers","BEL",1,2016
"48",53,2016-01-04,51.2,3,205026000,0.440694444444444,"trawlers","BEL",1,2016
"49",54,2016-01-04,51.2,2.9,205026000,0.664166666666667,"trawlers","BEL",1,2016
"50",55,2016-01-04,51.2,2.7,246327000,1.42736111111111,"trawlers","NLD",1,2016
"51",56,2016-01-04,51.2,2.6,246327000,4.89666666666667,"trawlers","NLD",1,2016
"52",57,2016-01-04,51.2,-10.3,228048600,2.44027777777778,"trawlers","FRA",1,2016
"53",58,2016-01-04,51.2,2,246273000,3.36388888888889,"trawlers","NLD",1,2016
"54",59,2016-01-04,51.2,2.1,246273000,17.7236111111111,"trawlers","NLD",1,2016
"55",60,2016-01-04,51.2,1.9,226230000,1.0725,"trawlers","FRA",1,2016
"56",61,2016-01-04,51.2,1.9,227142900,4.36125,"trawlers","FRA",1,2016
"57",62,2016-01-04,51.2,2,227142900,0.856666666666667,"trawlers","FRA",1,2016
"58",63,2016-01-04,76.8,12.9,273312270,1.11625,"trawlers","RUS",1,2016
"59",82,2016-01-04,51.3,2.7,244245000,1.1175,"trawlers","NLD",1,2016
"60",83,2016-01-04,51.3,2.5,244245000,2.92555555555556,"trawlers","NLD",1,2016
"61",84,2016-01-04,51.3,2.6,244245000,5.17319444444444,"trawlers","NLD",1,2016
"62",86,2016-01-04,51.3,-7.8,250001702,1.46375,"trawlers","IRL",1,2016
"63",87,2016-01-04,51.3,-7.9,250001702,10.8998611111111,"trawlers","IRL",1,2016
"64",88,2016-01-04,51.3,-7.7,250001702,3.61916666666667,"trawlers","IRL",1,2016
"65",89,2016-01-04,51.3,3,205150000,0.677083333333333,"trawlers","BEL",1,2016
"66",90,2016-01-04,51.3,2.9,205150000,2.38444444444444,"trawlers","BEL",1,2016
"67",91,2016-01-04,51.3,2.9,246206000,2.51722222222222,"trawlers","NLD",1,2016
"68",92,2016-01-04,51.3,3,246206000,0.270694444444444,"trawlers","NLD",1,2016
"69",93,2016-01-04,51.3,2.8,246206000,1.41847222222222,"trawlers","NLD",1,2016
"70",94,2016-01-04,51.3,-8.3,250107700,1.24430555555556,"trawlers","IRL",1,2016
"71",95,2016-01-04,51.3,2.8,245331000,2.34916666666667,"trawlers","NLD",1,2016
"72",96,2016-01-04,51.3,2.9,245331000,1.0925,"trawlers","NLD",1,2016
"73",97,2016-01-04,51.3,2.7,245331000,0.71875,"trawlers","NLD",1,2016
"74",98,2016-01-04,51.3,2.4,244179000,1.48958333333333,"trawlers","NLD",1,2016
"75",99,2016-01-04,51.3,3,245235000,1.53361111111111,"trawlers","NLD",1,2016
"76",100,2016-01-04,51.3,3.1,245235000,2.80069444444445,"trawlers","NLD",1,2016
"77",101,2016-01-04,51.3,3.3,245235000,8.27305555555556,"trawlers","NLD",1,2016
"78",102,2016-01-04,51.3,3.2,245235000,8.59416666666666,"trawlers","NLD",1,2016
"79",103,2016-01-04,51.3,2.3,244221000,1.04541666666667,"trawlers","NLD",1,2016
"80",104,2016-01-04,51.3,2.2,244221000,1.455,"trawlers","NLD",1,2016
"81",105,2016-01-04,51.3,2.4,244221000,0.524166666666667,"trawlers","NLD",1,2016
