"","X","date","lat_bin","lon_bin","mmsi","fishing_hours","geartype","flag","month","year"
"1",7,2016-01-10,51.2,-6.3,250002435,4.90236111111111,"trawlers","IRL",1,2016
"2",8,2016-01-10,51.2,-8.1,250103560,0.809861111111111,"trawlers","IRL",1,2016
"3",9,2016-01-10,51.2,-8.7,250103560,3.45555555555556,"trawlers","IRL",1,2016
"4",10,2016-01-10,51.2,-8.4,250103560,2.01513888888889,"trawlers","IRL",1,2016
"5",11,2016-01-10,51.2,-8.3,250103560,1.52791666666667,"trawlers","IRL",1,2016
"6",12,2016-01-10,51.2,-8.5,250103560,1.86944444444444,"trawlers","IRL",1,2016
"7",13,2016-01-10,51.2,-8.6,250103560,1.32402777777778,"trawlers","IRL",1,2016
"8",14,2016-01-10,51.2,-8.2,250103560,1.18847222222222,"trawlers","IRL",1,2016
"9",15,2016-01-10,51.2,-8.3,250000908,1.38291666666667,"trawlers","IRL",1,2016
"10",16,2016-01-10,51.2,-8.1,250000908,2.57611111111111,"trawlers","IRL",1,2016
"11",17,2016-01-10,51.2,-8.5,250000908,3.29722222222222,"trawlers","IRL",1,2016
"12",18,2016-01-10,51.2,-8.2,250000908,1.69597222222222,"trawlers","IRL",1,2016
"13",19,2016-01-10,51.2,-7.9,250000908,0.816527777777778,"trawlers","IRL",1,2016
"14",20,2016-01-10,51.2,-8,250000908,2.91208333333333,"trawlers","IRL",1,2016
"15",21,2016-01-10,51.2,-8.7,250000908,1.04027777777778,"trawlers","IRL",1,2016
"16",22,2016-01-10,51.2,-8.6,250000908,2.45791666666667,"trawlers","IRL",1,2016
"17",23,2016-01-10,51.2,-8.4,250000908,1.33097222222222,"trawlers","IRL",1,2016
"18",24,2016-01-10,51.2,-5.6,205322000,2.33402777777778,"trawlers","BEL",1,2016
"19",25,2016-01-10,51.2,-5.4,205289000,2.66902777777778,"trawlers","BEL",1,2016
"20",26,2016-01-10,51.2,-8.6,227486000,1.03444444444444,"trawlers","FRA",1,2016
"21",27,2016-01-10,51.2,-8.5,227486000,1.55611111111111,"trawlers","FRA",1,2016
