"","X","date","lat_bin","lon_bin","mmsi","fishing_hours","geartype","flag","month","year"
"1",13,2016-01-23,51.2,-7.9,228174600,5.39486111111111,"trawlers","FRA",1,2016
"2",14,2016-01-23,51.2,-8,228174600,0.263888888888889,"trawlers","FRA",1,2016
"3",15,2016-01-23,51.2,-7.7,228174600,0.285,"trawlers","FRA",1,2016
"4",16,2016-01-23,51.2,-7.8,228174600,2.69,"trawlers","FRA",1,2016
"5",17,2016-01-23,51.2,-5.1,205322000,1.78180555555556,"trawlers","BEL",1,2016
"6",18,2016-01-23,51.2,2.2,227595050,4.31916666666667,"fixed_gear","FRA",1,2016
"7",24,2016-01-23,51.2,-6.6,250002776,2.30180555555556,"trawlers","IRL",1,2016
"8",25,2016-01-23,51.2,-6.5,250002776,3.04375,"trawlers","IRL",1,2016
"9",26,2016-01-23,51.2,-6.2,250002776,4.56402777777778,"trawlers","IRL",1,2016
"10",27,2016-01-23,51.2,-6.4,250002776,1.92916666666667,"trawlers","IRL",1,2016
"11",30,2016-01-23,51.2,2.3,227311230,6.21333333333333,"fixed_gear","FRA",1,2016
"12",31,2016-01-23,51.2,-7.9,228190600,12.5440277777778,"trawlers","FRA",1,2016
"13",32,2016-01-23,51.2,-8,228190600,1.26208333333333,"trawlers","FRA",1,2016
"14",33,2016-01-23,51.2,-7.8,228190600,5.81638888888889,"trawlers","FRA",1,2016
"15",34,2016-01-23,51.2,-6.1,250000283,0.771111111111111,"trawlers","IRL",1,2016
"16",35,2016-01-23,51.2,-6.2,250000283,7.10111111111111,"trawlers","IRL",1,2016
"17",36,2016-01-23,51.2,-4.7,235113634,1.38319444444444,"fixed_gear","GBR",1,2016
"18",37,2016-01-23,51.2,-4.6,235113634,0.253888888888889,"fixed_gear","GBR",1,2016
"19",38,2016-01-23,51.2,-4.5,235113634,0.554583333333333,"fixed_gear","GBR",1,2016
"20",39,2016-01-23,51.2,2.9,205273000,1.51472222222222,"trawlers","BEL",1,2016
"21",40,2016-01-23,51.2,2.7,205273000,3.05222222222222,"trawlers","BEL",1,2016
"22",41,2016-01-23,51.2,2.8,205273000,5.11833333333333,"trawlers","BEL",1,2016
"23",42,2016-01-23,51.2,-6.4,250003127,11.7995833333333,"trawlers","IRL",1,2016
"24",43,2016-01-23,51.2,-6.2,250003127,1.87777777777778,"trawlers","IRL",1,2016
"25",44,2016-01-23,51.2,-6.3,250003127,4.94944444444444,"trawlers","IRL",1,2016
"26",45,2016-01-23,51.2,-8.5,250477000,1.36236111111111,"trawlers","IRL",1,2016
"27",46,2016-01-23,51.2,-8.6,250477000,0.515694444444444,"trawlers","IRL",1,2016
"28",47,2016-01-23,51.2,-8.4,250477000,0.764305555555556,"trawlers","IRL",1,2016
"29",48,2016-01-23,51.2,-6.2,250003153,4.00763888888889,"trawlers","IRL",1,2016
