"","X","date","lat_bin","lon_bin","mmsi","fishing_hours","geartype","flag","month","year"
"1",9,2016-01-30,51.2,-8.2,250000908,1.69319444444444,"trawlers","IRL",1,2016
"2",10,2016-01-30,51.2,-7.8,250000908,1.38958333333333,"trawlers","IRL",1,2016
"3",11,2016-01-30,51.2,-8.1,250000908,1.35166666666667,"trawlers","IRL",1,2016
"4",12,2016-01-30,51.2,-8.4,250000908,1.06486111111111,"trawlers","IRL",1,2016
"5",13,2016-01-30,51.2,-8,250000908,2.47930555555556,"trawlers","IRL",1,2016
"6",14,2016-01-30,51.2,-8.3,250000908,0.9275,"trawlers","IRL",1,2016
"7",15,2016-01-30,51.2,-7.9,250000908,1.51430555555556,"trawlers","IRL",1,2016
"8",16,2016-01-30,51.2,-5.3,205322000,1.40569444444444,"trawlers","BEL",1,2016
"9",17,2016-01-30,51.2,-5.5,205322000,0.537361111111111,"trawlers","BEL",1,2016
"10",18,2016-01-30,51.2,-5.4,205322000,0.777638888888889,"trawlers","BEL",1,2016
"11",21,2016-01-30,51.2,-14.1,232006270,5.12055555555556,"fixed_gear","GBR",1,2016
"12",22,2016-01-30,51.2,-4.5,235113634,2.57652777777778,"fixed_gear","GBR",1,2016
"13",23,2016-01-30,51.2,-4.7,235113634,3.63625,"fixed_gear","GBR",1,2016
"14",24,2016-01-30,51.2,-10.3,224048290,1.63152777777778,"trawlers","ESP",1,2016
"15",25,2016-01-30,51.2,-10.2,224048290,0.263333333333333,"trawlers","ESP",1,2016
"16",51,2016-01-30,51.3,-7.7,250000908,1.71222222222222,"trawlers","IRL",1,2016
"17",52,2016-01-30,51.3,-7.8,250000908,1.29791666666667,"trawlers","IRL",1,2016
"18",53,2016-01-30,51.3,-5.3,205322000,0.520833333333333,"trawlers","BEL",1,2016
"19",54,2016-01-30,51.3,-5.4,205322000,1.22041666666667,"trawlers","BEL",1,2016
"20",55,2016-01-30,51.3,-5.5,205322000,0.408194444444444,"trawlers","BEL",1,2016
"21",65,2016-01-30,51.3,-14.1,232006270,11.3172222222222,"fixed_gear","GBR",1,2016
"22",66,2016-01-30,51.3,-14,232006270,1.48722222222222,"fixed_gear","GBR",1,2016
"23",67,2016-01-30,51.3,-54.5,316011910,1.36944444444444,"trawlers","CAN",1,2016
"24",112,2016-01-30,51.4,-7.6,250000908,1.14819444444444,"trawlers","IRL",1,2016
"25",113,2016-01-30,51.4,-7.7,250000908,1.44736111111111,"trawlers","IRL",1,2016
"26",116,2016-01-30,51.4,-10.5,250442000,2.14847222222222,"trawlers","IRL",1,2016
"27",117,2016-01-30,51.4,-10.4,250442000,2.88888888888889,"trawlers","IRL",1,2016
"28",118,2016-01-30,51.4,-5.3,205322000,1.2775,"trawlers","BEL",1,2016
"29",142,2016-01-30,51.4,-14.1,250105700,6.38430555555555,"trawlers","IRL",1,2016
"30",149,2016-01-30,51.4,-14,232006270,3.69472222222222,"fixed_gear","GBR",1,2016
"31",150,2016-01-30,51.4,-13.9,232006270,1.40375,"fixed_gear","GBR",1,2016
"32",151,2016-01-30,51.4,4,244780417,1.02902777777778,"trawlers","NLD",1,2016
"33",152,2016-01-30,51.4,-54.5,316011910,1.02402777777778,"trawlers","CAN",1,2016
"34",153,2016-01-30,51.4,1.8,232006030,1.38013888888889,"trawlers","GBR",1,2016
"35",154,2016-01-30,51.4,1.7,232006030,2.43138888888889,"trawlers","GBR",1,2016
"36",164,2016-01-30,51.4,4,924467387,0.701805555555556,"trawlers","UNK",1,2016
"37",191,2016-01-30,51.5,-7.5,250000908,1.21555555555556,"trawlers","IRL",1,2016
"38",219,2016-01-30,51.5,-13.9,232006270,0.570833333333333,"fixed_gear","GBR",1,2016
"39",220,2016-01-30,51.5,-54.4,316011910,2.10402777777778,"trawlers","CAN",1,2016
"40",221,2016-01-30,51.5,-54.5,316011910,0.376388888888889,"trawlers","CAN",1,2016
"41",222,2016-01-30,51.5,1.7,232006030,3.94527777777778,"trawlers","GBR",1,2016
"42",223,2016-01-30,51.5,1.9,232006030,3.02263888888889,"trawlers","GBR",1,2016
"43",224,2016-01-30,51.5,1.8,232006030,9.01305555555556,"trawlers","GBR",1,2016
"44",226,2016-01-30,51.5,4,924467387,0.137222222222222,"trawlers","UNK",1,2016
"45",227,2016-01-30,51.5,-14.6,235004110,9.57819444444444,"drifting_longlines","GBR",1,2016
"46",228,2016-01-30,51.5,-14.7,235004110,8.56319444444444,"drifting_longlines","GBR",1,2016
"47",263,2016-01-30,51.6,-14.2,250105700,6.195,"trawlers","IRL",1,2016
"48",265,2016-01-30,51.6,-54.3,316011910,0.565277777777778,"trawlers","CAN",1,2016
"49",266,2016-01-30,51.6,-54.4,316011910,0.848472222222222,"trawlers","CAN",1,2016
"50",267,2016-01-30,51.6,1.8,232006030,1.40013888888889,"trawlers","GBR",1,2016
"51",268,2016-01-30,51.6,1.9,232006030,3.30097222222222,"trawlers","GBR",1,2016
"52",273,2016-01-30,51.6,-14.7,235004110,2.31430555555556,"drifting_longlines","GBR",1,2016
"53",288,2016-01-30,51.7,-14.1,250184000,5.13777777777778,"trawlers","IRL",1,2016
"54",289,2016-01-30,51.7,-14.1,250105700,4.05361111111111,"trawlers","IRL",1,2016
"55",290,2016-01-30,51.7,-11.7,224273000,21.5915277777778,"trawlers","ESP",1,2016
"56",292,2016-01-30,51.7,-54.3,316011910,1.24430555555556,"trawlers","CAN",1,2016
"57",293,2016-01-30,51.7,-54.2,316011910,0.232083333333333,"trawlers","CAN",1,2016
"58",296,2016-01-30,51.7,-8.2,250001559,1.86722222222222,"fixed_gear","IRL",1,2016
"59",297,2016-01-30,51.7,-8.1,250001559,3.94527777777778,"fixed_gear","IRL",1,2016
"60",315,2016-01-30,51.8,-13.8,250240000,5.71736111111111,"trawlers","IRL",1,2016
"61",317,2016-01-30,51.8,-54.2,316011910,1.46138888888889,"trawlers","CAN",1,2016
"62",320,2016-01-30,51.8,-13.8,250350000,5.64180555555556,"trawlers","IRL",1,2016
"63",321,2016-01-30,51.8,-14,250350000,5.10875,"trawlers","IRL",1,2016
"64",322,2016-01-30,51.8,-7.8,250002886,4.68916666666667,"fixed_gear","IRL",1,2016
"65",323,2016-01-30,51.8,-7.9,250002886,0.285555555555556,"fixed_gear","IRL",1,2016
"66",363,2016-01-30,51.9,-13.9,250240000,3.86152777777778,"trawlers","IRL",1,2016
"67",364,2016-01-30,51.9,-14,250240000,2.30180555555556,"trawlers","IRL",1,2016
"68",368,2016-01-30,51.9,-13.9,250105700,2.77125,"trawlers","IRL",1,2016
"69",369,2016-01-30,51.9,-14,250105700,0.690277777777778,"trawlers","IRL",1,2016
"70",370,2016-01-30,51.9,-54.2,316011910,1.08388888888889,"trawlers","CAN",1,2016
"71",375,2016-01-30,51.9,-14,250350000,0.959027777777778,"trawlers","IRL",1,2016
"72",376,2016-01-30,51.9,-14.1,250350000,0.980972222222222,"trawlers","IRL",1,2016
"73",379,2016-01-30,51.9,-7.9,250002886,0.652222222222222,"fixed_gear","IRL",1,2016
"74",380,2016-01-30,51.9,-7.8,250002886,0.421111111111111,"fixed_gear","IRL",1,2016
"75",433,2016-01-30,52,-14,250240000,1.30652777777778,"trawlers","IRL",1,2016
"76",434,2016-01-30,52,-13.9,250240000,1.92055555555556,"trawlers","IRL",1,2016
"77",435,2016-01-30,52,-15.3,227583000,0.366527777777778,"trawlers","FRA",1,2016
"78",436,2016-01-30,52,-15.2,227583000,0.576666666666667,"trawlers","FRA",1,2016
"79",437,2016-01-30,52,-15.4,227583000,0.181944444444444,"trawlers","FRA",1,2016
"80",438,2016-01-30,52,2,235032615,1.36916666666667,"trawlers","GBR",1,2016
"81",442,2016-01-30,52,-14,250184000,15.4643055555556,"trawlers","IRL",1,2016
"82",443,2016-01-30,52,-14,250105700,0.881944444444444,"trawlers","IRL",1,2016
"83",444,2016-01-30,52,-54.2,316011910,0.306527777777778,"trawlers","CAN",1,2016
"84",445,2016-01-30,52,-54.1,316011910,0.818333333333333,"trawlers","CAN",1,2016
"85",449,2016-01-30,52,4,235103398,0.0495833333333333,"trawlers","GBR",1,2016
"86",452,2016-01-30,52,-13.9,250350000,1.74986111111111,"trawlers","IRL",1,2016
"87",453,2016-01-30,52,-14,250350000,0.459027777777778,"trawlers","IRL",1,2016
"88",486,2016-01-30,52.1,-13.7,250240000,1.71472222222222,"trawlers","IRL",1,2016
"89",487,2016-01-30,52.1,-13.8,250240000,7.45527777777778,"trawlers","IRL",1,2016
"90",488,2016-01-30,52.1,-15.3,227583000,2.92930555555556,"trawlers","FRA",1,2016
"91",489,2016-01-30,52.1,-15.5,227583000,0.684444444444444,"trawlers","FRA",1,2016
"92",490,2016-01-30,52.1,-15.4,227583000,6.66236111111111,"trawlers","FRA",1,2016
"93",492,2016-01-30,52.1,-54.1,316011910,1.33902777777778,"trawlers","CAN",1,2016
"94",495,2016-01-30,52.1,4.1,235103398,0.256111111111111,"trawlers","GBR",1,2016
"95",499,2016-01-30,52.1,-13.6,250350000,1.71986111111111,"trawlers","IRL",1,2016
"96",500,2016-01-30,52.1,-13.8,250350000,4.72305555555556,"trawlers","IRL",1,2016
"97",501,2016-01-30,52.1,-13.7,250350000,2.44527777777778,"trawlers","IRL",1,2016
"98",504,2016-01-30,52.1,-53.9,316323000,0.544027777777778,"trawlers","CAN",1,2016
"99",533,2016-01-30,52.2,-53.9,316010000,4.01041666666666,"trawlers","CAN",1,2016
"100",534,2016-01-30,52.2,-53.8,316010000,0.720833333333333,"trawlers","CAN",1,2016
"101",536,2016-01-30,52.2,-15.2,227583000,3.28069444444444,"trawlers","FRA",1,2016
"102",537,2016-01-30,52.2,-15.4,227583000,4.71652777777778,"trawlers","FRA",1,2016
"103",538,2016-01-30,52.2,-15.3,227583000,0.877916666666667,"trawlers","FRA",1,2016
"104",539,2016-01-30,52.2,-15.5,227583000,2.80958333333333,"trawlers","FRA",1,2016
"105",540,2016-01-30,52.2,-54.1,316011910,0.869444444444444,"trawlers","CAN",1,2016
"106",546,2016-01-30,52.2,-53.9,316323000,1.85347222222222,"trawlers","CAN",1,2016
"107",580,2016-01-30,52.3,-6.5,250000387,0.260416666666667,"trawlers","IRL",1,2016
"108",581,2016-01-30,52.3,-53.9,316010000,11.2420833333333,"trawlers","CAN",1,2016
"109",586,2016-01-30,52.3,-54.1,316011910,1.07972222222222,"trawlers","CAN",1,2016
"110",587,2016-01-30,52.3,-6.4,250003367,2.61194444444444,"trawlers","IRL",1,2016
"111",588,2016-01-30,52.3,-53.8,316323000,1.71736111111111,"trawlers","CAN",1,2016
"112",589,2016-01-30,52.3,-53.9,316323000,10.5691666666667,"trawlers","CAN",1,2016
"113",657,2016-01-30,52.4,-53.8,316010000,2.495,"trawlers","CAN",1,2016
"114",658,2016-01-30,52.4,-53.9,316010000,4.82652777777778,"trawlers","CAN",1,2016
"115",660,2016-01-30,52.4,4.5,244167000,0.780277777777778,"other_fishing","NLD",1,2016
"116",661,2016-01-30,52.4,4.8,244780400,15.5873611111111,"fixed_gear","NLD",1,2016
"117",662,2016-01-30,52.4,-54,316011910,0.267222222222222,"trawlers","CAN",1,2016
"118",663,2016-01-30,52.4,-54.1,316011910,0.805972222222222,"trawlers","CAN",1,2016
"119",664,2016-01-30,52.4,-6.4,250003367,7.89222222222222,"trawlers","IRL",1,2016
"120",665,2016-01-30,52.4,-53.8,316323000,5.06555555555556,"trawlers","CAN",1,2016
"121",666,2016-01-30,52.4,-53.9,316323000,3.02319444444444,"trawlers","CAN",1,2016
"122",745,2016-01-30,52.5,4.4,244309000,0.447638888888889,"trawlers","NLD",1,2016
"123",746,2016-01-30,52.5,4.5,244309000,0.419027777777778,"trawlers","NLD",1,2016
"124",747,2016-01-30,52.5,-54,316011910,1.34958333333333,"trawlers","CAN",1,2016
"125",841,2016-01-30,52.6,-12,227275010,6.18847222222222,"trawlers","FRA",1,2016
"126",1079,2016-01-30,52.9,-12.1,227275010,5.56180555555556,"trawlers","FRA",1,2016
"127",1270,2016-01-30,53.1,-12,227275010,5.86638888888889,"trawlers","FRA",1,2016
"128",1272,2016-01-30,53.1,-5.4,250000054,4.53152777777778,"trawlers","IRL",1,2016
"129",1273,2016-01-30,53.1,-5.3,250000054,3.15527777777778,"trawlers","IRL",1,2016
"130",1274,2016-01-30,53.1,-5.5,250392000,0.254444444444444,"trawlers","IRL",1,2016
"131",1369,2016-01-30,53.2,-6,250002836,1.40875,"fixed_gear","IRL",1,2016
"132",1370,2016-01-30,53.2,-5.4,250000054,13.1883333333333,"trawlers","IRL",1,2016
"133",1371,2016-01-30,53.2,-5.4,250392000,3.13833333333333,"trawlers","IRL",1,2016
