"","X","date","lat_bin","lon_bin","mmsi","fishing_hours","geartype","flag","month","year"
"1",5,2016-01-26,51.2,2.4,244245000,3.36361111111111,"trawlers","NLD",1,2016
"2",6,2016-01-26,51.2,2.3,244245000,0.556388888888889,"trawlers","NLD",1,2016
"3",7,2016-01-26,51.2,2.5,244245000,1.13611111111111,"trawlers","NLD",1,2016
"4",8,2016-01-26,51.2,2,227141900,1.47444444444444,"trawlers","FRA",1,2016
"5",9,2016-01-26,51.2,1.9,227141900,3.59402777777778,"trawlers","FRA",1,2016
"6",10,2016-01-26,51.2,2.1,227300110,3.25861111111111,"fixed_gear","FRA",1,2016
"7",11,2016-01-26,51.2,2.2,227300110,1.13652777777778,"fixed_gear","FRA",1,2016
"8",12,2016-01-26,51.2,-10.3,227107100,2.52236111111111,"fixed_gear","FRA",1,2016
"9",13,2016-01-26,51.2,1.9,227117600,3.52722222222222,"trawlers","FRA",1,2016
"10",14,2016-01-26,51.2,2,227117600,2.96416666666667,"trawlers","FRA",1,2016
"11",15,2016-01-26,51.2,2.2,227595050,4.03236111111111,"fixed_gear","FRA",1,2016
"12",16,2016-01-26,51.2,2.3,245331000,1.20791666666667,"trawlers","NLD",1,2016
"13",17,2016-01-26,51.2,2.4,245331000,2.86555555555556,"trawlers","NLD",1,2016
"14",18,2016-01-26,51.2,2.5,245331000,2.42583333333333,"trawlers","NLD",1,2016
"15",19,2016-01-26,51.2,2.2,244179000,9.52583333333333,"trawlers","NLD",1,2016
"16",20,2016-01-26,51.2,2,226183000,5.16166666666667,"trawlers","FRA",1,2016
"17",21,2016-01-26,51.2,1.9,226183000,3.67527777777778,"trawlers","FRA",1,2016
"18",22,2016-01-26,51.2,1.6,257536600,0.5375,"trawlers","NOR",1,2016
"19",23,2016-01-26,51.2,1.7,257536600,1.28347222222222,"trawlers","NOR",1,2016
"20",24,2016-01-26,51.2,2.8,245415000,0.140555555555556,"trawlers","NLD",1,2016
"21",25,2016-01-26,51.2,2,227106400,5.07347222222222,"trawlers","FRA",1,2016
"22",26,2016-01-26,51.2,1.9,227106400,1.54402777777778,"trawlers","FRA",1,2016
"23",27,2016-01-26,51.2,2,227324000,2.65833333333333,"trawlers","FRA",1,2016
"24",28,2016-01-26,51.2,2.1,227324000,2.68416666666667,"trawlers","FRA",1,2016
"25",29,2016-01-26,51.2,1.9,227324000,2.69722222222222,"trawlers","FRA",1,2016
"26",30,2016-01-26,51.2,2.1,227318640,1.22208333333333,"fixed_gear","FRA",1,2016
"27",31,2016-01-26,51.2,2.2,227318640,0.368194444444444,"fixed_gear","FRA",1,2016
"28",34,2016-01-26,51.2,-14.2,232006270,2.00055555555556,"fixed_gear","GBR",1,2016
"29",35,2016-01-26,51.2,-14.3,232006270,0.527222222222222,"fixed_gear","GBR",1,2016
"30",36,2016-01-26,51.2,1.9,227106700,1.36555555555556,"trawlers","FRA",1,2016
"31",37,2016-01-26,51.2,2.1,227106700,1.00944444444444,"trawlers","FRA",1,2016
"32",38,2016-01-26,51.2,2,227106700,1.73888888888889,"trawlers","FRA",1,2016
"33",39,2016-01-26,51.2,1.8,227138700,5.03861111111111,"trawlers","FRA",1,2016
"34",40,2016-01-26,51.2,2.4,245370000,6.34763888888889,"trawlers","NLD",1,2016
"35",42,2016-01-26,51.2,2.6,24593300,22.6829166666667,"trawlers","NLD",1,2016
"36",43,2016-01-26,51.2,1.9,227144600,5.28,"trawlers","FRA",1,2016
"37",44,2016-01-26,51.2,2,227144600,6.715,"trawlers","FRA",1,2016
"38",45,2016-01-26,51.2,2.6,244932000,0.889444444444444,"trawlers","NLD",1,2016
"39",46,2016-01-26,51.2,2.5,244932000,0.895416666666667,"trawlers","NLD",1,2016
"40",47,2016-01-26,51.2,2.1,227102900,0.248472222222222,"trawlers","FRA",1,2016
"41",48,2016-01-26,51.2,1.9,227102900,1.04152777777778,"trawlers","FRA",1,2016
"42",49,2016-01-26,51.2,2,227102900,3.09638888888889,"trawlers","FRA",1,2016
"43",50,2016-01-26,51.2,2,245794000,1.70638888888889,"trawlers","NLD",1,2016
"44",51,2016-01-26,51.2,2.1,245794000,0.5725,"trawlers","NLD",1,2016
"45",52,2016-01-26,51.2,2.2,245794000,0.408611111111111,"trawlers","NLD",1,2016
"46",53,2016-01-26,51.2,2.7,246327000,0.220555555555556,"trawlers","NLD",1,2016
"47",54,2016-01-26,51.2,2.6,246327000,1.02222222222222,"trawlers","NLD",1,2016
"48",55,2016-01-26,51.2,2,227141600,2.80555555555556,"trawlers","FRA",1,2016
"49",56,2016-01-26,51.2,2.1,227141600,0.518194444444444,"trawlers","FRA",1,2016
"50",57,2016-01-26,51.2,1.9,227141600,4.01527777777778,"trawlers","FRA",1,2016
"51",58,2016-01-26,51.2,2.5,246273000,0.682916666666667,"trawlers","NLD",1,2016
"52",59,2016-01-26,51.2,2.4,246273000,1.87597222222222,"trawlers","NLD",1,2016
"53",60,2016-01-26,51.2,1.9,226230000,1.83152777777778,"trawlers","FRA",1,2016
"54",61,2016-01-26,51.2,2,226230000,1.22625,"trawlers","FRA",1,2016
"55",62,2016-01-26,51.2,2,227142900,6.41708333333333,"trawlers","FRA",1,2016
"56",63,2016-01-26,51.2,1.9,227142900,1.82458333333333,"trawlers","FRA",1,2016
"57",64,2016-01-26,51.2,2.5,244075000,0.345277777777778,"trawlers","NLD",1,2016
"58",65,2016-01-26,76.8,12.3,273421520,1.66388888888889,"trawlers","RUS",1,2016
"59",66,2016-01-26,76.8,12.5,273421520,1.63263888888889,"trawlers","RUS",1,2016
"60",74,2016-01-26,51.3,2.5,244245000,1.40611111111111,"trawlers","NLD",1,2016
"61",75,2016-01-26,51.3,-5.4,205322000,0.343888888888889,"trawlers","BEL",1,2016
"62",76,2016-01-26,51.3,-10.2,227107100,1.48694444444444,"fixed_gear","FRA",1,2016
"63",77,2016-01-26,51.3,1.6,235010340,0.51625,"trawlers","GBR",1,2016
"64",78,2016-01-26,51.3,1.7,235010340,0.411111111111111,"trawlers","GBR",1,2016
"65",79,2016-01-26,51.3,2.9,205150000,2.31402777777778,"trawlers","BEL",1,2016
"66",80,2016-01-26,51.3,2.8,205150000,1.17402777777778,"trawlers","BEL",1,2016
"67",81,2016-01-26,51.3,2.5,245331000,3.51055555555555,"trawlers","NLD",1,2016
"68",82,2016-01-26,51.3,2,244179000,4.9675,"trawlers","NLD",1,2016
"69",83,2016-01-26,51.3,1.9,244179000,0.393194444444444,"trawlers","NLD",1,2016
"70",84,2016-01-26,51.3,2.1,244179000,1.62361111111111,"trawlers","NLD",1,2016
"71",85,2016-01-26,51.3,2.2,244179000,0.83875,"trawlers","NLD",1,2016
"72",86,2016-01-26,51.3,2.6,244221000,2.27875,"trawlers","NLD",1,2016
"73",87,2016-01-26,51.3,2.5,244221000,2.83486111111111,"trawlers","NLD",1,2016
"74",88,2016-01-26,51.3,3,245415000,4.40472222222222,"trawlers","NLD",1,2016
"75",89,2016-01-26,51.3,3.1,245415000,0.428611111111111,"trawlers","NLD",1,2016
"76",90,2016-01-26,51.3,2.8,245415000,2.53027777777778,"trawlers","NLD",1,2016
"77",91,2016-01-26,51.3,2.9,245415000,7.44027777777778,"trawlers","NLD",1,2016
"78",92,2016-01-26,51.3,2,245148000,0.721666666666667,"trawlers","NLD",1,2016
"79",93,2016-01-26,51.3,1.9,245542000,0.718888888888889,"trawlers","NLD",1,2016
"80",94,2016-01-26,51.3,2.1,245542000,0.594722222222222,"trawlers","NLD",1,2016
