"","date","lat_bin","lon_bin","mmsi","fishing_hours"
"15","2016-01-03",51.2,1.9,227106400,6.81236111111111
"16","2016-01-03",51.2,2,227106400,4.50236111111111
"17","2016-01-03",51.2,1.9,227324000,5.64277777777778
"18","2016-01-03",51.2,2,227324000,3.84375
"19","2016-01-03",51.2,2.8,205273000,1.55083333333333
"20","2016-01-03",51.2,2.9,205273000,1.37694444444444
"21","2016-01-03",51.2,2.7,205273000,0.396388888888889
"22","2016-01-03",51.2,-5.8,205241000,4.46861111111111
"23","2016-01-03",51.2,1.9,227104700,6.60625
"24","2016-01-03",51.2,2,227104700,6.09513888888889
"25","2016-01-03",51.2,2.8,205272000,0.141805555555556
"26","2016-01-03",51.2,2.7,205272000,0.131944444444444
"27","2016-01-03",51.2,-14.2,235004110,1.75194444444444
"28","2016-01-03",51.2,-14.4,235004110,12.3531944444444
"29","2016-01-03",51.2,-14.3,235004110,2.62625
"30","2016-01-03",51.2,3,205026000,2.58236111111111
"31","2016-01-03",51.2,2.9,205026000,2.57555555555556
"32","2016-01-03",51.2,1.9,227141600,1.585
"33","2016-01-03",51.2,2.1,246273000,8.51972222222222
"34","2016-01-03",51.2,2.2,246273000,1.99569444444444
"35","2016-01-03",51.2,1.9,226230000,2.49763888888889
"36","2016-01-03",51.2,2,226230000,0.781805555555556
"37","2016-01-03",51.2,1.9,227142900,0.126944444444444
"38","2016-01-03",76.8,12.8,273352280,0.759444444444444
"39","2016-01-03",76.8,12.9,273352280,0.349305555555556
"40","2016-01-03",76.8,13,273352280,0.481944444444444
"55","2016-01-03",51.3,3.2,245235000,1.59833333333333
"56","2016-01-03",51.3,3.3,245235000,2.59111111111111
"57","2016-01-03",51.3,3.1,205010000,4.825
"58","2016-01-03",51.3,1.9,205275000,6.80402777777778
"59","2016-01-03",51.3,2,205275000,0.598472222222222
"60","2016-01-03",51.3,-5.8,205241000,5.97777777777778
"61","2016-01-03",51.3,-5.7,205241000,7.39013888888889
"62","2016-01-03",51.3,-14.5,235004110,5.69916666666667
"63","2016-01-03",51.3,3,205026000,2.49
"64","2016-01-03",51.3,3.1,205026000,8.23236111111111
"65","2016-01-03",51.3,2,205153000,1.23013888888889
"66","2016-01-03",51.3,1.9,205153000,0.145833333333333
"67","2016-01-03",51.3,2.1,205153000,0.199444444444444
"68","2016-01-03",76.9,12.5,273352280,0.757222222222222
"69","2016-01-03",76.9,12.4,273352280,0.818055555555556
"70","2016-01-03",76.9,12.6,273352280,0.799166666666667
"97","2016-01-03",51.4,2.1,205149000,1.03125
"98","2016-01-03",51.4,2,205275000,5.29486111111111
"101","2016-01-03",51.4,1.6,205165000,0.391944444444444
"102","2016-01-03",51.4,1.9,205153000,0.832361111111111
"103","2016-01-03",51.4,1.8,205153000,1.25569444444444
"104","2016-01-03",77,12.3,273352280,0.779166666666667
"128","2016-01-03",51.5,3.1,244245000,0.493333333333333
"129","2016-01-03",51.5,3.2,245331000,0.785833333333333
"130","2016-01-03",51.5,3.1,245331000,0.245972222222222
"131","2016-01-03",51.5,2.2,205149000,9.50819444444445
"132","2016-01-03",51.5,2.1,205149000,3.09569444444444
"133","2016-01-03",51.5,-10,224658000,1.26069444444444
"134","2016-01-03",51.5,2.9,245074000,4.93833333333333
