"","date","lat_bin","lon_bin","mmsi","fishing_hours"
"9","2016-01-30",51.2,-8.2,250000908,1.69319444444444
"10","2016-01-30",51.2,-7.8,250000908,1.38958333333333
"11","2016-01-30",51.2,-8.1,250000908,1.35166666666667
"12","2016-01-30",51.2,-8.4,250000908,1.06486111111111
"13","2016-01-30",51.2,-8,250000908,2.47930555555556
"14","2016-01-30",51.2,-8.3,250000908,0.9275
"15","2016-01-30",51.2,-7.9,250000908,1.51430555555556
"16","2016-01-30",51.2,-5.3,205322000,1.40569444444444
"17","2016-01-30",51.2,-5.5,205322000,0.537361111111111
"18","2016-01-30",51.2,-5.4,205322000,0.777638888888889
"21","2016-01-30",51.2,-14.1,232006270,5.12055555555556
"22","2016-01-30",51.2,-4.5,235113634,2.57652777777778
"23","2016-01-30",51.2,-4.7,235113634,3.63625
"24","2016-01-30",51.2,-10.3,224048290,1.63152777777778
"25","2016-01-30",51.2,-10.2,224048290,0.263333333333333
"51","2016-01-30",51.3,-7.7,250000908,1.71222222222222
"52","2016-01-30",51.3,-7.8,250000908,1.29791666666667
"53","2016-01-30",51.3,-5.3,205322000,0.520833333333333
"54","2016-01-30",51.3,-5.4,205322000,1.22041666666667
"55","2016-01-30",51.3,-5.5,205322000,0.408194444444444
"65","2016-01-30",51.3,-14.1,232006270,11.3172222222222
"66","2016-01-30",51.3,-14,232006270,1.48722222222222
"67","2016-01-30",51.3,-54.5,316011910,1.36944444444444
"112","2016-01-30",51.4,-7.6,250000908,1.14819444444444
"113","2016-01-30",51.4,-7.7,250000908,1.44736111111111
"116","2016-01-30",51.4,-10.5,250442000,2.14847222222222
"117","2016-01-30",51.4,-10.4,250442000,2.88888888888889
"118","2016-01-30",51.4,-5.3,205322000,1.2775
"142","2016-01-30",51.4,-14.1,250105700,6.38430555555555
"149","2016-01-30",51.4,-14,232006270,3.69472222222222
"150","2016-01-30",51.4,-13.9,232006270,1.40375
"151","2016-01-30",51.4,4,244780417,1.02902777777778
"152","2016-01-30",51.4,-54.5,316011910,1.02402777777778
"153","2016-01-30",51.4,1.8,232006030,1.38013888888889
"154","2016-01-30",51.4,1.7,232006030,2.43138888888889
"164","2016-01-30",51.4,4,924467387,0.701805555555556
"191","2016-01-30",51.5,-7.5,250000908,1.21555555555556
"219","2016-01-30",51.5,-13.9,232006270,0.570833333333333
"220","2016-01-30",51.5,-54.4,316011910,2.10402777777778
"221","2016-01-30",51.5,-54.5,316011910,0.376388888888889
"222","2016-01-30",51.5,1.7,232006030,3.94527777777778
"223","2016-01-30",51.5,1.9,232006030,3.02263888888889
"224","2016-01-30",51.5,1.8,232006030,9.01305555555556
"226","2016-01-30",51.5,4,924467387,0.137222222222222
"227","2016-01-30",51.5,-14.6,235004110,9.57819444444444
"228","2016-01-30",51.5,-14.7,235004110,8.56319444444444
